Exampletable,This is an example of a data table.,Results,Ballots,Disability Ballots,Participants Incomplete/,Category Completed Accuracy Timeto,Terminated,complete,"Blind 5 1 4 34.5%,n=1 1199sec,n=1","LowVision 5 2 3 98.3%n=2 1716sec,n=3","(97.7%,n=3) (1934sec,n=2)","Dexterity 5 4 1 98.3%,n=4 1672.1sec,n=4","Mobility 3 3 0 95.4%,n=3 1416sec,n=3"
,,,,,,,,,,,,,Results,,,,
,,,,,,,,,,Ballots,,,,,,,
,Disability,,,,,,Ballots,,,,,,,,,,
,,,,Participants,,,,,,Incomplete/,,,,,,,
,Category,,,,,,Completed,,,,,,Accuracy,,,Timeto,
,,,,,,,,,,Terminated,,,,,,,
,,,,,,,,,,,,,,,,complete,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Blind,,,5,,,1,,,4,,,"34.5%,n=1",,,"1199sec,n=1",,
LowVision,,,5,,,2,,,3,,,"98.3%n=2
(97.7%,n=3)",,,"1716sec,n=3
(1934sec,n=2)",,
Dexterity,,,5,,,4,,,1,,,"98.3%,n=4",,,"1672.1sec,n=4",,
Mobility,,,3,,,3,,,0,,,"95.4%,n=3",,,"1416sec,n=3",,
